id,nameInEfs,nameInFile,description,status,chainId,isOpen,fileIdentifier,isDeleted,deletedAt,createdAt,updatedAt,fuelPrices,emailContacts,phoneContacts,addresses,websiteContacts,isBroken,chain.id,chain.name,chain.aliasName,chain.additionalGallons,chain.description,chain.logoId,chain.isDeleted,chain.deletedAt,chain.createdAt,chain.updatedAt,efsLocationId.stationId,efsLocationId.efsLocationId,efsLocationId.createdAt,efsLocationId
1128,PETRO GREENSBURG #6379,PETRO GREENSBURG,,Discount,2,True,6379.0,False,,2025-08-26T08:40:13.300Z,2026-03-03T13:59:47.378Z,"[{'id': 404207, 'stationId': 1128, 'retailPrice': 5.56, 'bestPrice': 4.5, 'sourceFileId': 8862, 'sourceTransactionId': None, 'organizationId': 4, 'createdAt': '2026-03-02T19:00:29.570Z', 'updatedAt': '2026-04-22T05:49:36.136Z', 'discountedPrice': 4.65, 'discountPerUnit': 0.91, '_originalDiscountAmount': 0.15}]",[],[],"[{'contactId': 1826, 'street': '1409 South County Rd. 850 East', 'city': 'GREENSBURG', 'state': 'IN', 'zip': '', 'timeZone': '', 'longitude': -85.3282, 'latitude': 39.3182, 'createdAt': '2025-08-26T08:40:13.300Z', 'updatedAt': '2025-10-31T15:07:06.300Z'}]",[],False,2,TA/PETRO,TA_PETRO,0,,111,False,,2025-05-08T09:41:32.236Z,2025-10-27T15:45:38.128Z,1128.0,518373.0,2026-03-02T18:59:06.878Z,
1157,PETRO REMINGTON # 6382,PETRO REMINGTON,,Discount,2,True,6382.0,False,,2025-08-26T08:40:13.426Z,2026-03-31T14:45:43.939Z,"[{'id': 418945, 'stationId': 1157, 'retailPrice': 5.36, 'bestPrice': 4.31, 'sourceFileId': 8862, 'sourceTransactionId': None, 'organizationId': 6, 'createdAt': '2026-03-31T08:49:22.777Z', 'updatedAt': '2026-04-22T05:49:36.136Z', 'discountedPrice': 4.46, 'discountPerUnit': 0.9, '_originalDiscountAmount': 0.15}]",[],[],"[{'contactId': 1846, 'street': '4230 West Highway 24', 'city': 'REMINGTON', 'state': 'IN', 'zip': '', 'timeZone': '', 'longitude': -87.1261, 'latitude': 40.767, 'createdAt': '2025-08-26T08:40:13.426Z', 'updatedAt': '2026-03-31T14:45:43.939Z'}]",[],False,2,TA/PETRO,TA_PETRO,0,,111,False,,2025-05-08T09:41:32.236Z,2025-10-27T15:45:38.128Z,1157.0,518377.0,2026-03-02T18:59:06.878Z,
1114,PETRO DEMING - #6385,PETRO DEMING,,Discount,2,True,6385.0,False,,2025-08-26T08:40:13.257Z,2026-03-03T13:59:47.411Z,"[{'id': 399015, 'stationId': 1114, 'retailPrice': 5.6, 'bestPrice': 4.61, 'sourceFileId': 8939, 'sourceTransactionId': None, 'organizationId': 10, 'createdAt': '2026-03-02T19:00:29.570Z', 'updatedAt': '2026-04-22T16:49:57.992Z', 'discountedPrice': 4.76, 'discountPerUnit': 0.84, '_originalDiscountAmount': 0.15}]",[],[],"[{'contactId': 1818, 'street': '14150 Hwy 418 SW', 'city': 'DEMING', 'state': 'NM', 'zip': '', 'timeZone': '', 'longitude': -107.9927, 'latitude': 32.2386, 'createdAt': '2025-08-26T08:40:13.257Z', 'updatedAt': '2025-10-31T15:07:22.311Z'}]",[],False,2,TA/PETRO,TA_PETRO,0,,111,False,,2025-05-08T09:41:32.236Z,2025-10-27T15:45:38.128Z,1114.0,518422.0,2026-03-02T18:59:06.878Z,
676,LOVES #479 TRAVEL STOP,LOVES 479,,Discount,4,True,479.0,False,,2025-08-26T08:40:11.837Z,2026-03-03T13:58:11.257Z,"[{'id': 397598, 'stationId': 676, 'retailPrice': 5.13, 'bestPrice': 4.06, 'sourceFileId': 8926, 'sourceTransactionId': None, 'organizationId': 11, 'createdAt': '2026-03-02T19:00:29.570Z', 'updatedAt': '2026-04-22T14:49:49.736Z', 'discountedPrice': 4.21, 'discountPerUnit': 0.92, '_originalDiscountAmount': 0.15}]",[],[],"[{'contactId': 1587, 'street': '2525 Singing Hills Blvd', 'city': 'SIOUX CITY', 'state': 'IA', 'zip': '', 'timeZone': '', 'longitude': -96.3799, 'latitude': 42.4347, 'createdAt': '2025-08-26T08:40:11.837Z', 'updatedAt': '2026-03-03T13:58:11.262Z'}]",[],False,4,LOVES,LOVES,0,,115,False,,2025-05-08T13:36:42.458Z,2026-02-04T20:05:13.203Z,676.0,518442.0,2026-03-02T18:59:06.878Z,
669,LOVES #470 TRAVEL STOP,LOVES 470,,Discount,4,True,470.0,False,,2025-08-26T08:40:11.794Z,2026-03-03T13:58:11.150Z,"[{'id': 395225, 'stationId': 669, 'retailPrice': 5.29, 'bestPrice': 4.53, 'sourceFileId': 8863, 'sourceTransactionId': None, 'organizationId': 8, 'createdAt': '2026-03-02T19:00:29.570Z', 'updatedAt': '2026-04-22T05:49:36.136Z', 'discountedPrice': 4.68, 'discountPerUnit': 0.61, '_originalDiscountAmount': 0.15}]",[],[],"[{'contactId': 1580, 'street': '11459 SW 61st Way', 'city': 'JASPER', 'state': 'FL', 'zip': '', 'timeZone': '', 'longitude': -82.9117, 'latitude': 30.438, 'createdAt': '2025-08-26T08:40:11.794Z', 'updatedAt': '2026-03-03T13:58:11.157Z'}]",[],False,4,LOVES,LOVES,0,,115,False,,2025-05-08T13:36:42.458Z,2026-02-04T20:05:13.203Z,669.0,518443.0,2026-03-02T18:59:06.878Z,
1303,PILOT 568,PILOT_J 568,,Discount,3,True,568.0,False,,2025-08-26T08:40:13.900Z,2026-03-03T13:57:58.358Z,"[{'id': 404211, 'stationId': 1303, 'retailPrice': 5.1, 'bestPrice': 4.13, 'sourceFileId': 8864, 'sourceTransactionId': None, 'organizationId': 4, 'createdAt': '2026-03-02T19:00:29.570Z', 'updatedAt': '2026-04-22T05:49:36.136Z', 'discountedPrice': 4.28, 'discountPerUnit': 0.82, '_originalDiscountAmount': 0.15}]",[],[],"[{'contactId': 1932, 'street': '14555 Ih35 South', 'city': 'VON ORMY', 'state': 'TX', 'zip': '', 'timeZone': '', 'longitude': -98.66931, 'latitude': 29.279543, 'createdAt': '2025-08-26T08:40:13.900Z', 'updatedAt': '2025-10-31T15:06:30.206Z'}]",[],False,3,PILOT/J,PILOT_J,0,,113,False,,2025-05-08T12:17:38.322Z,2026-02-04T20:05:00.552Z,1303.0,518456.0,2026-03-02T18:59:06.878Z,
184,FJ WILLIAMS 572,PILOT_J 572,,Discount,3,True,572.0,False,,2025-08-26T08:40:09.590Z,2026-03-03T13:57:58.382Z,"[{'id': 408522, 'stationId': 184, 'retailPrice': 5.2, 'bestPrice': 4.12, 'sourceFileId': 8892, 'sourceTransactionId': None, 'organizationId': 36284, 'createdAt': '2026-03-02T19:00:29.570Z', 'updatedAt': '2026-04-22T09:49:35.168Z', 'discountedPrice': 4.27, 'discountPerUnit': 0.93, '_originalDiscountAmount': 0.15}]",[],[],"[{'contactId': 1228, 'street': '3040 220Th Street', 'city': 'WILLIAMS', 'state': 'IA', 'zip': '', 'timeZone': '', 'longitude': -93.57267, 'latitude': 42.470284, 'createdAt': '2025-08-26T08:40:09.590Z', 'updatedAt': '2025-10-31T15:04:42.478Z'}]",[],False,3,PILOT/J,PILOT_J,0,,113,False,,2025-05-08T12:17:38.322Z,2026-02-04T20:05:00.552Z,184.0,518457.0,2026-03-02T18:59:06.878Z,
1805,TA DENMARK- #6245,TA DENMARK,,Discount,2,True,6245.0,False,,2025-08-26T08:40:15.258Z,2026-03-03T13:59:45.971Z,"[{'id': 404213, 'stationId': 1805, 'retailPrice': 5.4, 'bestPrice': 4.23, 'sourceFileId': 8862, 'sourceTransactionId': None, 'organizationId': 4, 'createdAt': '2026-03-02T19:00:29.570Z', 'updatedAt': '2026-04-22T05:49:36.136Z', 'discountedPrice': 4.38, 'discountPerUnit': 1.02, '_originalDiscountAmount': 0.15}]",[],[],"[{'contactId': 2200, 'street': '155 Hwy. 138, Providence Rd.', 'city': 'DENMARK', 'state': 'TN', 'zip': '', 'timeZone': '', 'longitude': -89.0562, 'latitude': 35.595, 'createdAt': '2025-08-26T08:40:15.258Z', 'updatedAt': '2025-10-31T15:07:37.903Z'}]",[],False,2,TA/PETRO,TA_PETRO,0,,111,False,,2025-05-08T09:41:32.236Z,2025-10-27T15:45:38.128Z,1805.0,518461.0,2026-03-02T18:59:06.878Z,
668,LOVES #469 TRAVEL STOP,LOVES 469,,Discount,4,True,469.0,False,,2025-08-26T08:40:11.788Z,2026-03-03T13:58:11.127Z,"[{'id': 396273, 'stationId': 668, 'retailPrice': 5.65, 'bestPrice': 4.35, 'sourceFileId': 8863, 'sourceTransactionId': None, 'organizationId': 7, 'createdAt': '2026-03-02T19:00:29.570Z', 'updatedAt': '2026-04-22T05:49:36.136Z', 'discountedPrice': 4.5, 'discountPerUnit': 1.15, '_originalDiscountAmount': 0.15}]",[],[],"[{'contactId': 1579, 'street': '1850 North Mecklenburg Ave', 'city': 'SOUTH HILL', 'state': 'VA', 'zip': '', 'timeZone': '', 'longitude': -78.1, 'latitude': 36.7489, 'createdAt': '2025-08-26T08:40:11.788Z', 'updatedAt': '2026-03-03T13:58:11.134Z'}]",[],False,4,LOVES,LOVES,0,,115,False,,2025-05-08T13:36:42.458Z,2026-02-04T20:05:13.203Z,668.0,518465.0,2026-03-02T18:59:06.878Z,
1551,PILOT PERCIVAL 238,PILOT_J 238,,Discount,3,True,238.0,False,,2025-08-26T08:40:14.781Z,2026-03-03T13:57:55.426Z,"[{'id': 408524, 'stationId': 1551, 'retailPrice': 5.16, 'bestPrice': 4.14, 'sourceFileId': 8878, 'sourceTransactionId': None, 'organizationId': 36284, 'createdAt': '2026-03-02T19:00:29.570Z', 'updatedAt': '2026-04-22T07:49:36.296Z', 'discountedPrice': 4.29, 'discountPerUnit': 0.87, '_originalDiscountAmount': 0.15}]",[],[],"[{'contactId': 2107, 'street': '2495 210th Avenue', 'city': 'PERCIVAL', 'state': 'IA', 'zip': '', 'timeZone': '', 'longitude': -95.79288, 'latitude': 40.690266, 'createdAt': '2025-08-26T08:40:14.781Z', 'updatedAt': '2025-10-31T15:04:41.374Z'}]",[],False,3,PILOT/J,PILOT_J,0,,113,False,,2025-05-08T12:17:38.322Z,2026-02-04T20:05:00.552Z,1551.0,518530.0,2026-03-02T18:59:06.878Z,
